timestamp,session_id,api_calls_per_sec,memory_usage,cpu_load,encryption_time_ms,layer_activated,response_size_bytes,request_geo_entropy,payload_entropy,tls_cipher_strength,io_wait_percentage,quantum_safety_score,is_anomaly,attack_type,data_source,rolling_api_std_10s,cpu_memory_ratio,time_since_last_req
2025-04-04 12:11:12.738382,sess_141,9.44,37.55,32.79,205.26,BIKE,2048,0.835,0.441,256,2.373196778009141,100,0,normal,NIST PQC Reference,,0.873,0.0
2025-04-04 12:11:13.738382,sess_218,12.65,39.34,25.37,168.36,BIKE,4096,0.943,0.422,256,4.4389434976022475,90,0,normal,NIST PQC Reference,,0.645,0.0
2025-04-04 12:11:14.738382,sess_118,1.94,42.6,38.16,119.52,Kyber,2048,0.866,0.441,256,1.9792915271572342,90,0,normal,NIST PQC Reference,,0.896,0.0
2025-04-04 12:11:15.738382,sess_41,10.46,23.7,44.66,165.03,NTRU,1024,0.833,0.563,256,2.0373750295101387,100,0,normal,NIST PQC Reference,,1.884,0.0
2025-04-04 12:11:16.738382,sess_61,27.8,38.15,31.22,184.54,Falcon,1024,0.813,0.388,256,4.526500342347853,98,0,normal,NIST PQC Reference,,0.818,0.0
2025-04-04 12:11:17.738382,sess_329,12.0,32.67,23.98,210.75,NTRU,4096,0.788,0.365,256,2.6799572900953934,94,0,normal,NIST PQC Reference,,0.734,0.0
2025-04-04 12:11:18.738382,sess_111,12.33,34.96,27.71,178.57,NTRU,4096,0.939,0.6,256,3.7980611034652596,97,0,normal,NIST PQC Reference,,0.793,0.0
2025-04-04 12:11:19.738382,sess_308,16.04,19.32,16.72,153.94,Kyber,1024,0.716,0.482,256,4.3254249207147115,93,0,normal,NIST PQC Reference,,0.865,0.0
2025-04-04 12:11:20.738382,sess_265,16.09,42.05,19.91,135.17,NTRU,1024,0.824,0.507,256,1.164476795632957,97,0,normal,NIST PQC Reference,,0.473,0.0
2025-04-04 12:11:21.738382,sess_296,12.7,43.46,33.44,114.74,Kyber,4096,0.706,0.516,256,3.7911386231621163,97,0,normal,NIST PQC Reference,,0.769,0.0
2025-04-04 12:11:22.738382,sess_118,17.91,42.1,38.94,198.87,BIKE,2048,0.949,0.405,256,1.1080725033691028,93,0,normal,NIST PQC Reference,11.29,0.925,8.0
2025-04-04 12:11:23.738382,sess_20,10.8,32.53,33.31,169.51,Kyber,1024,0.961,0.447,256,3.8192607945548507,98,0,normal,NIST PQC Reference,,1.024,0.0
2025-04-04 12:11:24.738382,sess_8,14.11,31.72,41.8,150.24,NTRU,2048,0.805,0.405,256,3.012968508887989,95,0,normal,NIST PQC Reference,,1.318,0.0
2025-04-04 12:11:25.738382,sess_175,14.64,43.03,33.62,180.65,Falcon,1024,0.733,0.589,256,1.3618663145805705,92,0,normal,NIST PQC Reference,,0.781,0.0
2025-04-04 12:11:26.738382,sess_201,22.48,37.71,63.72,172.39,Falcon,2048,0.953,0.487,256,2.6460437300099278,94,0,normal,NIST PQC Reference,,1.69,0.0
2025-04-04 12:11:27.738382,sess_39,15.44,32.61,30.92,126.27,NTRU,4096,0.909,0.592,256,2.075220056625134,95,0,normal,NIST PQC Reference,,0.948,0.0
2025-04-04 12:11:28.738382,sess_184,12.33,23.04,22.11,198.59,BIKE,4096,0.985,0.336,256,3.2981013945369306,99,0,normal,NIST PQC Reference,,0.96,0.0
2025-04-04 12:11:29.738382,sess_189,10.96,30.99,39.15,156.58,Kyber,1024,0.987,0.431,256,1.7864466411488218,90,0,normal,NIST PQC Reference,,1.263,0.0
2025-04-04 12:11:30.738382,sess_149,21.86,36.4,26.91,220.19,Falcon,4096,0.814,0.518,256,3.583393319778102,98,0,normal,NIST PQC Reference,,0.739,0.0
2025-04-04 12:11:31.738382,sess_130,13.04,23.29,32.96,207.83,Falcon,2048,0.866,0.371,256,4.772304490263259,96,0,normal,NIST PQC Reference,,1.415,0.0
2025-04-04 12:11:32.738382,sess_220,10.03,38.69,95.6,388.65,Dilithium,512,0.204,0.918,128,5.703860059606729,74,1,side_channel,CVE-2023-4567 | CHES 2023 | IACR ePrint 2023/456,,2.471,0.0
2025-04-04 12:11:33.738382,sess_104,14.19,38.23,48.86,153.49,Kyber,2048,0.797,0.531,256,3.0885749804137865,100,0,normal,NIST PQC Reference,,1.278,0.0
2025-04-04 12:11:34.738382,sess_144,14.91,21.61,19.27,130.15,Kyber,1024,0.897,0.426,256,1.5211235346491336,95,0,normal,NIST PQC Reference,,0.892,0.0
2025-04-04 12:11:35.738382,sess_58,82.95,99.39,96.62,31.79,NTRU,512,0.445,0.961,128,8.495411419922899,76,1,quantum_bruteforce,NIST IR 8413 (Table 5) | CVE-2023-33201 | USENIX Security '23,,0.972,0.0
